weekday,day_number,day_occurrences,start_hour,rider_type,ride_count,avg_rides
Wednesday,3,52,8,casual,12297,236.48076923076923
Wednesday,3,52,8,member,54925,1056.25
Wednesday,3,52,9,casual,7807,150.1346153846154
Wednesday,3,52,9,member,26873,516.7884615384615
Wednesday,3,52,10,casual,7036,135.30769230769232
Wednesday,3,52,10,member,18047,347.0576923076923
Wednesday,3,52,11,casual,8792,169.07692307692307
Wednesday,3,52,11,member,20520,394.61538461538464
Wednesday,3,52,12,casual,10497,201.8653846153846
Wednesday,3,52,12,member,24178,464.96153846153845
Wednesday,3,52,13,casual,10412,200.23076923076923
Wednesday,3,52,13,member,22931,440.9807692307692
Wednesday,3,52,14,casual,11388,219.0
Wednesday,3,52,14,member,23456,451.0769230769231
Wednesday,3,52,15,casual,14243,273.90384615384613
Wednesday,3,52,15,member,35008,673.2307692307693
Wednesday,3,52,16,casual,19747,379.75
Wednesday,3,52,16,member,58702,1128.8846153846155
Wednesday,3,52,17,casual,26377,507.25
Wednesday,3,52,17,member,72121,1386.9423076923076
Wednesday,3,52,18,casual,22744,437.38461538461536
Wednesday,3,52,18,member,53710,1032.8846153846155
Wednesday,3,52,19,casual,17124,329.3076923076923
Wednesday,3,52,19,member,36068,693.6153846153846
Wednesday,3,52,20,casual,12508,240.53846153846155
Wednesday,3,52,20,member,25046,481.65384615384613
Wednesday,3,52,21,casual,10860,208.84615384615384
Wednesday,3,52,21,member,19503,375.0576923076923
Wednesday,3,52,22,casual,7797,149.94230769230768
Wednesday,3,52,22,member,12474,239.8846153846154
Wednesday,3,52,23,casual,4569,87.86538461538461
Wednesday,3,52,23,member,6198,119.1923076923077
Thursday,4,52,0,casual,3142,60.42307692307692
Thursday,4,52,0,member,3162,60.80769230769231
Thursday,4,52,1,casual,1896,36.46153846153846
Thursday,4,52,1,member,1643,31.596153846153847
Thursday,4,52,2,casual,1125,21.634615384615383
Thursday,4,52,2,member,880,16.923076923076923
Thursday,4,52,3,casual,714,13.73076923076923
Thursday,4,52,3,member,669,12.865384615384615
Thursday,4,52,4,casual,811,15.596153846153847
Thursday,4,52,4,member,1296,24.923076923076923
Thursday,4,52,5,casual,1781,34.25
Thursday,4,52,5,member,6025,115.86538461538461
Thursday,4,52,6,casual,4392,84.46153846153847
Thursday,4,52,6,member,19970,384.03846153846155
Thursday,4,52,7,casual,9044,173.92307692307693
Thursday,4,52,7,member,42120,810.0
Thursday,4,52,8,casual,12185,234.32692307692307
Thursday,4,52,8,member,54157,1041.4807692307693
Thursday,4,52,9,casual,8976,172.6153846153846
Thursday,4,52,9,member,28299,544.2115384615385
Thursday,4,52,10,casual,8377,161.09615384615384
Thursday,4,52,10,member,19543,375.8269230769231
Thursday,4,52,11,casual,10641,204.6346153846154
Thursday,4,52,11,member,22511,432.90384615384613
Thursday,4,52,12,casual,13043,250.82692307692307
Thursday,4,52,12,member,26706,513.5769230769231
Thursday,4,52,13,casual,13493,259.4807692307692
Thursday,4,52,13,member,25195,484.5192307692308
Thursday,4,52,14,casual,14446,277.8076923076923
Thursday,4,52,14,member,25452,489.46153846153845
Thursday,4,52,15,casual,17160,330.0
Thursday,4,52,15,member,36628,704.3846153846154
Thursday,4,52,16,casual,22806,438.5769230769231
Thursday,4,52,16,member,58629,1127.4807692307693
Thursday,4,52,17,casual,28696,551.8461538461538
Thursday,4,52,17,member,70403,1353.9038461538462
Thursday,4,52,18,casual,24697,474.9423076923077
Thursday,4,52,18,member,52074,1001.4230769230769
Thursday,4,52,19,casual,18133,348.71153846153845
Thursday,4,52,19,member,35149,675.9423076923077
Thursday,4,52,20,casual,12728,244.76923076923077
Thursday,4,52,20,member,24418,469.5769230769231
Thursday,4,52,21,casual,10329,198.6346153846154
Thursday,4,52,21,member,18267,351.28846153846155
Thursday,4,52,22,casual,9065,174.32692307692307
Thursday,4,52,22,member,13805,265.4807692307692
Thursday,4,52,23,casual,6863,131.98076923076923
Thursday,4,52,23,member,8708,167.46153846153845
Friday,5,52,0,casual,5365,103.17307692307692
Friday,5,52,0,member,4785,92.01923076923077
Friday,5,52,1,casual,3321,63.86538461538461
Friday,5,52,1,member,2618,50.34615384615385
Friday,5,52,2,casual,1928,37.07692307692308
Friday,5,52,2,member,1361,26.173076923076923
Friday,5,52,3,casual,1035,19.903846153846153
Friday,5,52,3,member,985,18.942307692307693
Friday,5,52,4,casual,1072,20.615384615384617
Friday,5,52,4,member,1351,25.98076923076923
Friday,5,52,5,casual,1952,37.53846153846154
Friday,5,52,5,member,5759,110.75
Friday,5,52,6,casual,4318,83.03846153846153
Friday,5,52,6,member,15766,303.1923076923077
Friday,5,52,7,casual,7468,143.6153846153846
Friday,5,52,7,member,28600,550.0
Friday,5,52,8,casual,9638,185.34615384615384
Friday,5,52,8,member,35404,680.8461538461538
