day_of_the_week_started_on,day_of_the_week_numerical,dates_observed,member_rides,casual_rides,total_weekday_rides,daily_member_percent,daily_casual_percent,day_share_member_rides,day_share_casual_rides,weekday_percent_of_rides
Monday,1,52,524204,236155,760359,68.94164467047801,31.058355329521977,14.04342175727891,11.62326552951553,13.190415581211909
Tuesday,2,53,605709,235807,841516,71.97831057282333,28.021689427176668,16.226940178212395,11.606137387387387,14.598296013118961
Wednesday,3,52,590398,226629,817027,72.26174899972706,27.73825100027294,15.816758587599395,11.154407248157248,14.173470256906043
Thursday,4,52,595709,254543,850252,70.0626402525369,29.937359747463105,15.95904024312455,12.52830080955081,14.749844782210229
Friday,5,52,547738,318187,865925,63.25466986170858,36.74533013829142,14.673897464514644,15.660782067032066,15.021733960091115
Saturday,6,52,471892,427263,899155,52.48171894723379,47.51828105276621,12.64198361684737,21.02937181062181,15.59819522347285
Sunday,7,52,397087,333160,730247,54.3770806316219,45.62291936837809,10.63795815242274,16.397735147735148,12.668044182988893
