start_station,end_station,ride_type,route_percent_x_rider_type,running_count,total_count
Millennium Park,Shedd Aquarium,casual,0.04779075698948969,93752,1366373
Shedd Aquarium,Dusable Harbor,casual,0.04749801115800737,94401,1366373
University Ave & 57th St,Lake Park Ave & 56th St,member,0.04735309983256733,16140,2534153
Morgan St & Polk St,Loomis St & Lexington St,member,0.046997951583823076,17331,2534153
Kimbark Ave & 53rd St,University Ave & 57th St,member,0.0469190297507688,18520,2534153
Loomis St & Lexington St,Morgan St & Polk St,member,0.045853585004536034,19682,2534153
Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,casual,0.04566834971124283,95025,1366373
Ellis Ave & 60th St,University Ave & 57th St,casual,0.045595163253372255,95648,1366373
DuSable Lake Shore Dr & Monroe St,Theater on the Lake,casual,0.04486329867466643,96261,1366373
Ellis Ave & 55th St,Kimbark Ave & 53rd St,member,0.04431460925997759,20805,2534153
Lincoln Park Conservatory,Lincoln Park Conservatory,casual,0.04354594243299597,96856,1366373
Michigan Ave & 8th St,Navy Pier,casual,0.043106823685772476,97445,1366373
Theater on the Lake,DuSable Lake Shore Dr & Monroe St,casual,0.042960450770031314,98032,1366373
Kimbark Ave & 53rd St,Ellis Ave & 55th St,member,0.04167072785265925,21861,2534153
Sheridan Rd & Noyes St (NU),Benson Ave & Church St,casual,0.0410576028653962,98593,1366373
Chicago Ave & Sheridan Rd,Chicago Ave & Sheridan Rd,casual,0.0410576028653962,99154,1366373
Theater on the Lake,DuSable Lake Shore Dr & North Blvd,casual,0.04076485703391387,99711,1366373
Cityfront Plaza Dr & Pioneer Ct,Cityfront Plaza Dr & Pioneer Ct,casual,0.0398866195394669,100256,1366373
Navy Pier,Michigan Ave & 8th St,casual,0.039520687250113984,100796,1366373
DuSable Lake Shore Dr & North Blvd,Michigan Ave & Oak St,casual,0.039520687250113984,101336,1366373
Navy Pier,Dusable Harbor,casual,0.039301127876502244,101873,1366373
Clark St & Lincoln Ave,Clark St & Lincoln Ave,casual,0.039301127876502244,102410,1366373
Field Blvd & South Water St,Field Blvd & South Water St,casual,0.03915475496076108,102945,1366373
Lake Park Ave & 56th St,University Ave & 57th St,member,0.039066307361868044,22851,2534153
Dusable Harbor,DuSable Lake Shore Dr & North Blvd,casual,0.038935195587149335,103477,1366373
University Ave & 57th St,Ellis Ave & 60th St,casual,0.03813014455057294,103998,1366373
Canal St & Madison St,LaSalle St & Jackson Blvd,member,0.037882479866053864,23811,2534153
University Ave & 57th St,Kimbark Ave & 53rd St,casual,0.03776421226122003,104514,1366373
Loomis St & Lexington St,Wolcott Ave & Polk St,member,0.037764097116472446,24768,2534153
DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,0.03725190705612596,105023,1366373
Griffin Museum of Science and Industry,Griffin Museum of Science and Industry,casual,0.03695916122464364,105528,1366373
Navy Pier,Adler Planetarium,casual,0.03644685601954957,106026,1366373
DuSable Lake Shore Dr & Monroe St,Burnham Harbor,casual,0.03644685601954957,106524,1366373
Chicago Ave & Sheridan Rd,Sheridan Rd & Noyes St (NU),member,0.036343504121495424,25689,2534153
Dusable Harbor,Shedd Aquarium,casual,0.03630048310380841,107020,1366373
Columbus Dr & Randolph St,Navy Pier,casual,0.036007737272326076,107512,1366373
Sheridan Rd & Noyes St (NU),Chicago Ave & Sheridan Rd,member,0.035751590373588334,26595,2534153
University Ave & 57th St,Ellis Ave & 53rd St,member,0.03559374670747977,27497,2534153
Fort Dearborn Dr & 31st St*,Fort Dearborn Dr & 31st St*,casual,0.035495432067232005,107997,1366373
McCormick Place,McCormick Place,casual,0.035495432067232005,108482,1366373
Navy Pier,Michigan Ave & Washington St,casual,0.03534905915149084,108965,1366373
DuSable Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave,casual,0.03483675394639677,109441,1366373
Wolcott Ave & Polk St,Loomis St & Lexington St,member,0.03440991921166559,28369,2534153
Buckingham Fountain,Buckingham Fountain,casual,0.03425126228343212,109909,1366373
Benson Ave & Church St,Sheridan Rd & Noyes St (NU),member,0.03405477096292134,29232,2534153
Lincoln Park Conservatory,Navy Pier,casual,0.03403170290982038,110374,1366373
Fairbanks Ct & Grand Ave,Fairbanks Ct & Grand Ave,casual,0.03403170290982038,110839,1366373
Sheffield Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,member,0.03385746638028564,30090,2534153
Benson Ave & Church St,Sheridan Rd & Noyes St (NU),casual,0.03351939770472631,111297,1366373
Kimbark Ave & 53rd St,University Ave & 57th St,casual,0.033299838331114565,111752,1366373
DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave,casual,0.03322665187324398,112206,1366373
Navy Pier,Lincoln Park Conservatory,casual,0.03322665187324398,112660,1366373
Ellis Ave & 53rd St,University Ave & 57th St,member,0.033226091715851405,30932,2534153
Navy Pier,Fairbanks Ct & Grand Ave,casual,0.03286071958389108,113109,1366373
Navy Pier,Navy Pier,member,0.032713099800998596,31761,2534153
Shedd Aquarium,Michigan Ave & Jackson Blvd,casual,0.032567973752408746,113554,1366373
Ellis Ave & 58th St,Ellis Ave & 60th St,member,0.03235795155225434,32581,2534153
Dusable Harbor,Theater on the Lake,casual,0.032202041463055844,113994,1366373
Indiana Ave & Roosevelt Rd,Navy Pier,casual,0.032055668547314675,114432,1366373
Ravenswood Ave & Lawrence Ave,Clark St & Winnemac Ave,member,0.031963342386982944,33391,2534153
Stetson Ave & South Water St,Stetson Ave & South Water St,casual,0.031836109173702935,114867,1366373
Clark St & Winnemac Ave,Ravenswood Ave & Lawrence Ave,member,0.031726576887820115,34195,2534153
Shedd Aquarium,Indiana Ave & Roosevelt Rd,casual,0.03168973625796177,115300,1366373
DuSable Lake Shore Dr & Monroe St,Indiana Ave & Roosevelt Rd,casual,0.03139699042647944,115729,1366373
Michigan Ave & Washington St,Navy Pier,casual,0.03110424459499712,116154,1366373
Clark St & Armitage Ave,Clark St & Armitage Ave,casual,0.03095787167925596,116577,1366373
Loomis St & Lexington St,Halsted St & Polk St,member,0.030897897640750183,34978,2534153
Sheffield Ave & Fullerton Ave,Southport Ave & Wrightwood Ave,member,0.030818975807695905,35759,2534153
Southport Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,member,0.030740053974641628,36538,2534153
Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr,casual,0.030738312305644215,116997,1366373
Mies van der Rohe Way & Chestnut St,Mies van der Rohe Way & Chestnut St,casual,0.03066512584777363,117416,1366373
University Ave & 57th St,Ellis Ave & 55th St,member,0.03054274939200593,37312,2534153
Halsted St & Polk St,Loomis St & Lexington St,member,0.030108679310207394,38075,2534153
Navy Pier,DuSable Lake Shore Dr & Diversey Pkwy,casual,0.03007963418480898,117827,1366373
Burnham Harbor,DuSable Lake Shore Dr & Monroe St,casual,0.030006447726938397,118237,1366373
Navy Pier,Field Museum,casual,0.029420956063973748,118639,1366373
Sheridan Rd & Noyes St (NU),Benson Ave & Church St,member,0.029398382812718882,38820,2534153
Cannon Dr & Fullerton Ave,Cannon Dr & Fullerton Ave,casual,0.029347769606103167,119040,1366373
Dusable Harbor,Michigan Ave & Oak St,casual,0.029347769606103167,119441,1366373
Ellis Ave & 53rd St,Ellis Ave & 55th St,member,0.029280000063137468,39562,2534153
LaSalle St & Jackson Blvd,Canal St & Madison St,member,0.029280000063137468,40304,2534153
Dusable Harbor,Millennium Park,casual,0.02912821023249142,119839,1366373
Indiana Ave & Roosevelt Rd,Millennium Park,casual,0.02912821023249142,120237,1366373
Wells St & Concord Ln,Wells St & Elm St,member,0.029122156397028906,41042,2534153
Navy Pier,Indiana Ave & Roosevelt Rd,casual,0.02905502377462084,120634,1366373
Blackstone Ave & 59th St,University Ave & 59th St,member,0.02900377364744749,41777,2534153
Burnham Harbor,Burnham Harbor,casual,0.02898183731675026,121030,1366373
University Ave & 59th St,Blackstone Ave & 59th St,member,0.02884592998133893,42508,2534153
Indiana Ave & Roosevelt Rd,Shedd Aquarium,casual,0.028835464401009096,121424,1366373
DuSable Lake Shore Dr & North Blvd,Dusable Harbor,casual,0.028835464401009096,121818,1366373
Ellis Ave & 60th St,Ellis Ave & 58th St,member,0.028648625398703234,43234,2534153
New St & Illinois St,Navy Pier,casual,0.02861590502739735,122209,1366373
Adler Planetarium,Millennium Park,casual,0.028542718569526768,122599,1366373
Wabash Ave & Wacker Pl,Wabash Ave & Wacker Pl,casual,0.028396345653785605,122987,1366373
Wells St & Elm St,Wells St & Concord Ln,member,0.0282145553169047,43949,2534153
Ellis Ave & 55th St,Kimbark Ave & 53rd St,casual,0.02795722690656212,123369,1366373
Canal St & Madison St,Michigan Ave & Washington St,member,0.027938328901214723,44657,2534153
Broadway & Berwyn Ave,Clark St & Berwyn Ave,member,0.027938328901214723,45365,2534153
Sheridan Rd & Buena Ave,Sheridan Rd & Irving Park Rd,member,0.027859407068160445,46071,2534153
Pine Grove Ave & Waveland Ave,Pine Grove Ave & Waveland Ave,casual,0.027810853990820956,123749,1366373
Clark St & Berwyn Ave,Broadway & Berwyn Ave,member,0.02770156340205189,46773,2534153
Wabash Ave & Roosevelt Rd,Wabash Ave & 16th St,member,0.027662102485524746,47474,2534153
Michigan Ave & Lake St,Columbus Dr & Randolph St,member,0.02758318065247047,48173,2534153
Woodlawn Ave & 58th St,Kimbark Ave & 53rd St,member,0.027109649654144797,48860,2534153
Michigan Ave & Jackson Blvd,Navy Pier,casual,0.027078989412115142,124119,1366373
Millennium Park,Michigan Ave & Oak St,casual,0.027078989412115142,124489,1366373
Lake Park Ave & 35th St,Lake Park Ave & 35th St,casual,0.027078989412115142,124859,1366373
Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,casual,0.027005802954244557,125228,1366373
Shedd Aquarium,Michigan Ave & Oak St,casual,0.027005802954244557,125597,1366373
Marine Dr & Ainslie St,Marine Dr & Ainslie St,casual,0.026786243580632814,125963,1366373
