start_station,end_station,ride_type,route_percent_x_rider_type,running_count,total_count
Clarendon Ave & Gordon Ter,Sheridan Rd & Irving Park Rd,member,0.018112560685957006,88648,2534153
Sheridan Rd & Irving Park Rd,Clarendon Ave & Gordon Ter,member,0.018073099769429862,89106,2534153
Wells St & Elm St,State St & Chicago Ave,member,0.018073099769429862,89564,2534153
Navy Pier,Dusable Harbor,member,0.018033638852902725,90021,2534153
State St & Chicago Ave,Wells St & Elm St,member,0.017994177936375585,90477,2534153
Clinton St & Madison St,Clinton St & Jackson Blvd,member,0.017994177936375585,90933,2534153
Kingsbury St & Erie St,Kingsbury St & Kinzie St 2,member,0.017915256103321307,91387,2534153
Millennium Park,Indiana Ave & Roosevelt Rd,casual,0.017857495720421876,162994,1366373
Woodlawn Ave & 58th St,Kimbark Ave & 53rd St,casual,0.017857495720421876,163238,1366373
Kimbark Ave & 53rd St,Ellis Ave & 58th St,member,0.01783633427026703,91839,2534153
Ellis Ave & 55th St,University Ave & 59th St,member,0.01775741243721275,92739,2534153
Wilton Ave & Belmont Ave,Broadway & Waveland Ave,member,0.01775741243721275,92289,2534153
Michigan Ave & 14th St,Wabash Ave & Roosevelt Rd,member,0.01771795152068561,93188,2534153
Broadway & Sheridan Rd,Sheridan Rd & Irving Park Rd,member,0.01771795152068561,93637,2534153
Sheridan Rd & Montrose Ave,Sheffield Ave & Waveland Ave,casual,0.017711122804680714,164209,1366373
Ellis Ave & 55th St,Lake Park Ave & 53rd St,member,0.017520646938049913,94081,2534153
Theater on the Lake,Theater on the Lake,member,0.017481186021522772,94524,2534153
Woodlawn Ave & 55th St,Woodlawn Ave & 58th St,member,0.017441725104995632,94966,2534153
Broadway & Waveland Ave,Clarendon Ave & Junior Ter,member,0.017402264188468495,95407,2534153
Ellis Ave & 55th St,Ellis Ave & 58th St,member,0.017362803271941354,96287,2534153
Southport Ave & Wellington Ave,Sheffield Ave & Wellington Ave,member,0.017362803271941354,95847,2534153
Woodlawn Ave & 58th St,Ellis Ave & 60th St,member,0.017323342355414217,96726,2534153
Clinton St & Jackson Blvd,Aberdeen St & Jackson Blvd,member,0.017323342355414217,97165,2534153
Pine Grove Ave & Waveland Ave,Pine Grove Ave & Irving Park Rd,member,0.017323342355414217,97604,2534153
Lake Park Ave & 53rd St,Ellis Ave & 55th St,member,0.017283881438887077,98042,2534153
Clark St & Armitage Ave,Wells St & Concord Ln,member,0.017244420522359936,98479,2534153
Clinton St & Madison St,Clinton St & Tilden St,member,0.017204959605832796,98915,2534153
Drexel Ave & 60th St,Ellis Ave & 55th St,member,0.017204959605832796,99351,2534153
Desplaines St & Kinzie St,Kingsbury St & Kinzie St,member,0.017165498689305655,99786,2534153
Kingsbury St & Kinzie St,Kingsbury St & Erie St,member,0.017165498689305655,100221,2534153
Indiana Ave & Roosevelt Rd,Michigan Ave & 8th St,member,0.01712603777277852,100655,2534153
Woodlawn Ave & 55th St,Ellis Ave & 60th St,casual,0.01712563114171606,167539,1366373
Federal St & Polk St,Daley Center Plaza,member,0.017086576856251378,101088,2534153
Ellis Ave & 55th St,Woodlawn Ave & 55th St,member,0.017086576856251378,101521,2534153
Cornell Ave & Hyde Park Blvd,Cornell Ave & Hyde Park Blvd,casual,0.01705244468384548,168005,1366373
Clinton St & Lake St,Canal St & Jackson Blvd,member,0.01704711593972424,101953,2534153
Sheffield Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,member,0.0170076550231971,102384,2534153
Wells St & Elm St,Wells St & Huron St,casual,0.0169792582259749,168470,1366373
University Ave & 57th St,Harper Ave & 55th St,member,0.01696819410666996,102814,2534153
Woodlawn Ave & 58th St,Woodlawn Ave & 55th St,member,0.01696819410666996,103244,2534153
McClurg Ct & Ohio St,State St & Chicago Ave,member,0.01692873319014282,103673,2534153
Sheffield Ave & Kingsbury St,Elston Ave & Cortland St,member,0.01692873319014282,104531,2534153
Michigan Ave & Lake St,Cityfront Plaza Dr & Pioneer Ct,member,0.01692873319014282,104102,2534153
Halsted St & Maxwell St,Halsted St & Polk St,member,0.01688927227361568,104959,2534153
Ellis Ave & 58th St,Blackstone Ave & 59th St,member,0.016849811357088542,105386,2534153
Ellis Ave & 60th St,Kimbark Ave & 53rd St,casual,0.016832885310233737,169393,1366373
Kimbark Ave & 53rd St,Woodlawn Ave & 58th St,casual,0.016832885310233737,169853,1366373
Sheffield Ave & Fullerton Ave,Ashland Ave & Wrightwood Ave,member,0.0168103504405614,106664,2534153
Mies van der Rohe Way & Chestnut St,State St & Chicago Ave,member,0.0168103504405614,106238,2534153
Desplaines St & Kinzie St,Kingsbury St & Kinzie St 1,member,0.0168103504405614,105812,2534153
Clark St & Elm St,State St & Chicago Ave,member,0.016691967690979984,107087,2534153
Calumet Ave & 33rd St,State St & 33rd St,casual,0.016686512394492575,170768,1366373
May St & Taylor St,Morgan St & Polk St,member,0.016652506774452847,107509,2534153
State St & Chicago Ave,Mies van der Rohe Way & Chestnut St,member,0.016573584941398566,107929,2534153
Ellis Ave & 53rd St,University Ave & 57th St,casual,0.01654013947875141,170994,1366373
Loomis St & Lexington St,Loomis St & Lexington St,member,0.016534124024871425,108348,2534153
State St & Chicago Ave,State St & Chicago Ave,casual,0.016466953020880828,171219,1366373
Shore Dr & 55th St,University Ave & 57th St,casual,0.016393766563010247,172116,1366373
Theater on the Lake,Montrose Harbor,casual,0.016393766563010247,171892,1366373
Sheridan Rd & Montrose Ave,Broadway & Waveland Ave,member,0.01637628035876287,108763,2534153
Ashland Ave & 13th St,Loomis St & Lexington St,member,0.01633681944223573,109177,2534153
DuSable Lake Shore Dr & Wellington Ave,Michigan Ave & Oak St,casual,0.016320580105139666,172563,1366373
Wells St & Concord Ln,Clark St & Armitage Ave,member,0.01625789760918145,110001,2534153
Broadway & Waveland Ave,Pine Grove Ave & Irving Park Rd,member,0.01625789760918145,109589,2534153
Halsted St & Polk St,Halsted St & Maxwell St,member,0.01617897577612717,110411,2534153
Halsted St & Polk St,Halsted St & Maxwell St,casual,0.016174207189398503,173228,1366373
Blackstone Ave & 59th St,Ellis Ave & 58th St,member,0.016139514859600034,110820,2534153
Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Irving Park Rd,casual,0.016027834273657338,173886,1366373
Emerald Ave & 31st St,Shields Ave & 31st St,member,0.015981671193491472,111630,2534153
Cityfront Plaza Dr & Pioneer Ct,Michigan Ave & Lake St,member,0.015981671193491472,111225,2534153
Kingsbury St & Kinzie St 2,Desplaines St & Kinzie St,member,0.015942210276964335,112034,2534153
Daley Center Plaza,Federal St & Polk St,member,0.015863288443910058,112838,2534153
Woodlawn Ave & 55th St,Shore Dr & 55th St,member,0.015863288443910058,112436,2534153
May St & Taylor St,Wood St & Taylor St (Temp),member,0.015823827527382917,113239,2534153
Wells St & Huron St,State St & Chicago Ave,member,0.015705444777801496,114433,2534153
Canal St & Monroe St,Michigan Ave & Washington St,member,0.015705444777801496,114035,2534153
Halsted St & Polk St,May St & Taylor St,member,0.015705444777801496,113637,2534153
University Ave & 57th St,University Ave & 57th St,member,0.01566598386127436,115624,2534153
University Ave & 57th St,Lake Park Ave & 53rd St,member,0.01566598386127436,115227,2534153
DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,member,0.01566598386127436,114830,2534153
Wolcott Ave & Polk St,Morgan St & Polk St,member,0.01562652294474722,116020,2534153
Ellis Ave & 55th St,Shore Dr & 55th St,casual,0.015588715526433851,176904,1366373
Ravenswood Ave & Lawrence Ave,Damen Ave & Foster Ave,member,0.01558706202822008,116415,2534153
Theater on the Lake,Navy Pier,member,0.01554760111169294,116809,2534153
Wabash Ave & Roosevelt Rd,Michigan Ave & 18th St,member,0.01546867927863866,117201,2534153
Shore Dr & 55th St,Ellis Ave & 55th St,casual,0.015442342610692689,177749,1366373
Sheridan Rd & Irving Park Rd,Broadway & Waveland Ave,member,0.015429218362111521,117592,2534153
Morgan St & Polk St,Wolcott Ave & Polk St,member,0.015429218362111521,117983,2534153
DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd,member,0.015429218362111521,118374,2534153
Shore Dr & 55th St,Woodlawn Ave & 55th St,member,0.015429218362111521,118765,2534153
Morgan St & Polk St,May St & Taylor St,member,0.015429218362111521,119156,2534153
Marine Dr & Ainslie St,Marine Dr & Ainslie St,member,0.015389757445584382,119546,2534153
Woodlawn Ave & 58th St,Ellis Ave & 55th St,member,0.015389757445584382,119936,2534153
May St & Taylor St,Halsted St & Polk St,member,0.015350296529057244,120325,2534153
Ellis Ave & 53rd St,Kimbark Ave & 53rd St,member,0.015310835612530105,120713,2534153
Wells St & Concord Ln,Wells St & Elm St,casual,0.015295969694951525,178377,1366373
Navy Pier,DuSable Lake Shore Dr & North Blvd,member,0.015192452862948683,121098,2534153
Peterson/Ridge Metra,Western Ave & Granville Ave,member,0.015152991946421545,121482,2534153
University Ave & 57th St,Harper Ave & 55th St,casual,0.015149596779210362,179414,1366373
Clark St & Elm St,Wells St & Concord Ln,member,0.015074070113367267,121864,2534153
Halsted St & Roscoe St,Wilton Ave & Belmont Ave,member,0.014995148280312988,122244,2534153
Wells St & Elm St,Wells St & Hubbard St,member,0.01495568736378585,122623,2534153
Racine Ave & Belmont Ave,Wilton Ave & Belmont Ave,member,0.01491622644725871,123001,2534153
Southport Ave & Waveland Ave,Southport Ave & Irving Park Rd,member,0.014876765530731568,123378,2534153
Wells St & Huron St,Wells St & Concord Ln,member,0.014876765530731568,123755,2534153
Ellis Ave & 60th St,Shore Dr & 55th St,member,0.014876765530731568,124132,2534153
Wilton Ave & Belmont Ave,Halsted St & Roscoe St,member,0.01479784369767729,124507,2534153
Blackstone Ave & 59th St,Ellis Ave & 55th St,member,0.014758382781150152,124881,2534153
Ravenswood Ave & Lawrence Ave,Ravenswood Ave & Berteau Ave,member,0.014718921864623013,125254,2534153
Shore Dr & 55th St,Shore Dr & 55th St,member,0.014718921864623013,125627,2534153
Clark St & Armitage Ave,Clark St & Elm St,member,0.014718921864623013,126000,2534153
Michigan Ave & Oak St,Michigan Ave & Oak St,member,0.014679460948095873,126372,2534153
Wabash Ave & Roosevelt Rd,Wabash Ave & 16th St,casual,0.014637291574116291,182668,1366373
Damen Ave & Foster Ave,Damen Ave & Leland Ave,casual,0.014637291574116291,182868,1366373
Damen Ave & Pierce Ave,Damen Ave & Chicago Ave,casual,0.014637291574116291,183268,1366373
Ravenswood Ave & Lawrence Ave,Paulina St & Montrose Ave,member,0.014600539115041593,126742,2534153
Canal St & Jackson Blvd,Clinton St & Lake St,member,0.014561078198514453,127480,2534153
Millennium Park,Indiana Ave & Roosevelt Rd,member,0.014561078198514453,128218,2534153
LaSalle St & Illinois St,Dearborn Pkwy & Delaware Pl,member,0.014561078198514453,127849,2534153
DuSable Lake Shore Dr & North Blvd,Navy Pier,member,0.014561078198514453,127111,2534153
Canal St & Madison St,State St & Chicago Ave,member,0.014521617281987314,128586,2534153
Western Ave & Granville Ave,Peterson/Ridge Metra,member,0.014442695448933037,129684,2534153
Wells St & Concord Ln,Wells St & Huron St,member,0.014442695448933037,129318,2534153
Michigan Ave & 8th St,Indiana Ave & Roosevelt Rd,member,0.014442695448933037,128952,2534153
Greenview Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,casual,0.014417732200504548,185051,1366373
Cornell Ave & Hyde Park Blvd,University Ave & 57th St,casual,0.014417732200504548,185445,1366373
Sedgwick St & Webster Ave,Sedgwick St & North Ave,member,0.014403234532405898,130049,2534153
Wabash Ave & Roosevelt Rd,Federal St & Polk St,member,0.014363773615878758,131141,2534153
Wood St & Taylor St (Temp),May St & Taylor St,member,0.014363773615878758,130413,2534153
Michigan Ave & 8th St,Michigan Ave & Jackson Blvd,member,0.014363773615878758,130777,2534153
Lake Park Ave & 53rd St,Woodlawn Ave & 58th St,member,0.014324312699351617,131867,2534153
DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave,member,0.014324312699351617,131504,2534153
Dearborn Pkwy & Delaware Pl,Clark St & Elm St,member,0.014284851782824477,132229,2534153
Broadway & Cornelia Ave,Pine Grove Ave & Irving Park Rd,member,0.014245390866297338,132590,2534153
Damen Ave & Foster Ave,Damen Ave & Leland Ave,member,0.014205929949770199,132950,2534153
Broadway & Berwyn Ave,Clark St & Berwyn Ave,casual,0.014198172826892803,187791,1366373
Southport Ave & Wellington Ave,Sheffield Ave & Wellington Ave,casual,0.014198172826892803,187597,1366373
Aberdeen St & Jackson Blvd,Desplaines St & Jackson Blvd,member,0.01416646903324306,133309,2534153
Southport Ave & Irving Park Rd,Southport Ave & Roscoe St,member,0.014127008116715922,133667,2534153
Indiana Ave & Roosevelt Rd,Michigan Ave & Jackson Blvd,casual,0.014124986369022222,188758,1366373
McClurg Ct & Ohio St,Wabash Ave & Grand Ave,member,0.014087547200188781,134024,2534153
Canal St & Madison St,Wabash Ave & Adams St,member,0.014087547200188781,134381,2534153
Clinton St & Jackson Blvd,Clark St & Lake St,member,0.014087547200188781,134738,2534153
Clark St & Armitage Ave,Lincoln Ave & Fullerton Ave,member,0.014048086283661642,135094,2534153
Peoria St & Jackson Blvd,Clinton St & Madison St,member,0.014008625367134502,135449,2534153
Ellis Ave & 58th St,Lake Park Ave & 56th St,member,0.014008625367134502,135804,2534153
Broadway & Cornelia Ave,Wilton Ave & Belmont Ave,casual,0.01397861345328106,190099,1366373
Michigan Ave & Oak St,Theater on the Lake,member,0.013969164450607361,136158,2534153
Clark St & Schiller St,Clark St & Elm St,member,0.013969164450607361,136512,2534153
Ellis Ave & 55th St,Harper Ave & 55th St,member,0.013929703534080223,136865,2534153
Federal St & Polk St,Wabash Ave & 16th St,member,0.013890242617553084,137921,2534153
University Ave & 59th St,University Ave & 57th St,member,0.013890242617553084,137569,2534153
DuSable Lake Shore Dr & Monroe St,Navy Pier,member,0.013890242617553084,137217,2534153
Clinton St & Lake St,Canal St & Adams St,member,0.013850781701025945,138272,2534153
Clarendon Ave & Gordon Ter,Clarendon Ave & Gordon Ter,casual,0.013832240537539895,191046,1366373
Kimbark Ave & 53rd St,Lake Park Ave & 53rd St,member,0.013811320784498806,138622,2534153
Woodlawn Ave & 55th St,Ellis Ave & 60th St,member,0.013811320784498806,138972,2534153
State St & Kinzie St,Clinton St & Washington Blvd,member,0.013771859867971666,139321,2534153
Wells St & Concord Ln,Clark St & Elm St,member,0.013771859867971666,139670,2534153
Montrose Harbor,Lakefront Trail & Bryn Mawr Ave,member,0.013771859867971666,140019,2534153
Ellis Ave & 60th St,Ellis Ave & 60th St,casual,0.013759054079669314,191800,1366373
University Ave & 57th St,Lake Park Ave & 53rd St,casual,0.013759054079669314,191612,1366373
Racine Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,member,0.013732398951444525,140367,2534153
Loomis St & Lexington St,Racine Ave & Congress Pkwy,member,0.013692938034917387,140714,2534153
Clarendon Ave & Gordon Ter,Broadway & Sheridan Rd,member,0.013692938034917387,141061,2534153
Clark St & Elm St,Clark St & Armitage Ave,member,0.013653477118390246,141753,2534153
Theater on the Lake,Michigan Ave & Oak St,member,0.013653477118390246,141407,2534153
Indiana Ave & Roosevelt Rd,Franklin St & Monroe St,member,0.013614016201863107,142443,2534153
Halsted St & Polk St,Clinton St & Jackson Blvd,member,0.013614016201863107,142098,2534153
McClurg Ct & Ohio St,McClurg Ct & Ohio St,member,0.013614016201863107,142788,2534153
Ellis Ave & 60th St,Kimbark Ave & 53rd St,member,0.013574555285335969,143132,2534153
Kedzie Ave & Palmer Ct,California Ave & Milwaukee Ave,member,0.013574555285335969,143476,2534153
Sheffield Ave & Fullerton Ave,Clark St & Wrightwood Ave,member,0.013574555285335969,143820,2534153
Dearborn Pkwy & Delaware Pl,LaSalle St & Illinois St,member,0.013574555285335969,144164,2534153
Wells St & Concord Ln,Larrabee St & Webster Ave,casual,0.013539494706057571,193103,1366373
Morgan St & Polk St,Clinton St & Madison St,member,0.01353509436880883,144507,2534153
Wilton Ave & Belmont Ave,Broadway & Belmont Ave,member,0.01353509436880883,144850,2534153
State St & Chicago Ave,Kingsbury St & Erie St,member,0.01353509436880883,145193,2534153
Clark St & Newport St,Wilton Ave & Belmont Ave,member,0.013495633452281691,145535,2534153
Pine Grove Ave & Waveland Ave,Pine Grove Ave & Waveland Ave,member,0.013456172535754549,145876,2534153
Clark St & Leland Ave,Ravenswood Ave & Lawrence Ave,member,0.01341671161922741,146216,2534153
Aberdeen St & Jackson Blvd,Loomis St & Lexington St,member,0.01337725070270027,146555,2534153
Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St (NU),member,0.013298328869645992,147229,2534153
State St & Chicago Ave,Ritchie Ct & Banks St,member,0.013298328869645992,146892,2534153
Blackstone Ave & 59th St,Woodlawn Ave & 58th St,member,0.013258867953118854,147565,2534153
Broadway & Barry Ave,Broadway & Cornelia Ave,member,0.013219407036591715,148235,2534153
Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Irving Park Rd,member,0.013219407036591715,148570,2534153
Clark St & Lake St,Canal St & Madison St,member,0.013219407036591715,148905,2534153
Broadway & Waveland Ave,Wilton Ave & Belmont Ave,member,0.013219407036591715,147900,2534153
Pine Grove Ave & Waveland Ave,Wilton Ave & Addison St,member,0.013179946120064574,149239,2534153
Hampden Ct & Diversey Pkwy,Wilton Ave & Diversey Pkwy,member,0.013179946120064574,149573,2534153
Clark St & Elm St,LaSalle St & Illinois St,casual,0.013173562416704662,194733,1366373
Damen Ave & Leland Ave,Damen Ave & Foster Ave,casual,0.013173562416704662,194193,1366373
Wells St & Huron St,Wells St & Concord Ln,casual,0.013173562416704662,194913,1366373
Woodlawn Ave & 55th St,Woodlawn Ave & 58th St,casual,0.013173562416704662,194013,1366373
Canal St & Madison St,Wells St & Huron St,member,0.013140485203537434,150239,2534153
Wells St & Hubbard St,Wells St & Elm St,member,0.013140485203537434,149906,2534153
Broadway & Waveland Ave,Clarendon Ave & Junior Ter,casual,0.01310037595883408,195271,1366373
Woodlawn Ave & 55th St,University Ave & 57th St,casual,0.01310037595883408,195450,1366373
University Ave & 57th St,Ellis Ave & 53rd St,casual,0.01310037595883408,195629,1366373
Clark St & Winnemac Ave,Clark St & Bryn Mawr Ave,casual,0.01310037595883408,195808,1366373
Ravenswood Ave & Lawrence Ave,Clark St & Winnemac Ave,casual,0.01310037595883408,195987,1366373
University Ave & 57th St,Cornell Ave & Hyde Park Blvd,casual,0.01310037595883408,196166,1366373
Harper Ave & 55th St,University Ave & 57th St,member,0.013061563370483155,150570,2534153
Kingsbury St & Kinzie St,Clinton St & Jackson Blvd,member,0.013022102453956016,150900,2534153
Morgan St & Polk St,900 W Harrison St,member,0.012982641537428877,151887,2534153
Sheffield Ave & Fullerton Ave,Racine Ave & Wrightwood Ave,member,0.012982641537428877,152545,2534153
Desplaines St & Kinzie St,Wells St & Hubbard St,member,0.012982641537428877,151558,2534153
Pine Grove Ave & Irving Park Rd,Broadway & Waveland Ave,member,0.012982641537428877,151229,2534153
Larrabee St & Kingsbury St,Clinton St & Washington Blvd,member,0.012982641537428877,152216,2534153
Wabash Ave & Roosevelt Rd,Michigan Ave & 18th St,casual,0.012954003043092919,197055,1366373
Wabash Ave & 16th St,Wabash Ave & Roosevelt Rd,casual,0.012954003043092919,197232,1366373
Sheffield Ave & Wellington Ave,Broadway & Barry Ave,member,0.012943180620901738,153529,2534153
California Ave & Milwaukee Ave,Kedzie Ave & Palmer Ct,member,0.012943180620901738,152873,2534153
Damen Ave & Pierce Ave,Damen Ave & Chicago Ave,member,0.012943180620901738,153201,2534153
Wells St & Elm St,Wells St & Walton St,member,0.012943180620901738,153857,2534153
Halsted St & Roosevelt Rd,Clinton St & Jackson Blvd,member,0.0129037197043746,154184,2534153
Green St & Madison St,Aberdeen St & Randolph St,member,0.0129037197043746,154838,2534153
Clinton St & Jackson Blvd,Halsted St & Polk St,member,0.0129037197043746,154511,2534153
Michigan Ave & 8th St,Indiana Ave & Roosevelt Rd,casual,0.012880816585222337,197584,1366373
Canal St & Adams St,Clark St & Lake St,member,0.012864258787847457,156142,2534153
Shields Ave & 31st St,Emerald Ave & 31st St,member,0.012864258787847457,155816,2534153
Sheridan Rd & Montrose Ave,Clarendon Ave & Gordon Ter,member,0.012864258787847457,155490,2534153
Wabash Ave & 16th St,Federal St & Polk St,member,0.012864258787847457,155164,2534153
Kingsbury St & Kinzie St 2,Clinton St & Washington Blvd 2,member,0.012824797871320319,156467,2534153
Clark St & Lake St,Clinton St & Washington Blvd,member,0.012824797871320319,156792,2534153
Sheffield Ave & Webster Ave,Larrabee St & Webster Ave,member,0.012824797871320319,157117,2534153
Indiana Ave & Roosevelt Rd,Michigan Ave & Jackson Blvd,member,0.012824797871320319,157442,2534153
Wacker Dr & Washington St,Michigan Ave & Washington St,member,0.012824797871320319,157767,2534153
State St & Randolph St,Canal St & Madison St,member,0.012824797871320319,158092,2534153
State St & Chicago Ave,State St & Chicago Ave,member,0.01278533695479318,158416,2534153
Indiana Ave & Roosevelt Rd,Federal St & Polk St,member,0.01274587603826604,158739,2534153
Cornell Ave & Hyde Park Blvd,University Ave & 57th St,member,0.01274587603826604,159062,2534153
Ellis Ave & 55th St,Drexel Ave & 60th St,casual,0.012734443669481173,198812,1366373
State St & Kinzie St,New St & Illinois St,member,0.0127064151217389,159706,2534153
Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,member,0.0127064151217389,159384,2534153
University Ave & 57th St,University Ave & 59th St,member,0.0127064151217389,160028,2534153
Sheridan Rd & Argyle St,Sheridan Rd & Argyle St,member,0.012666954205211762,160670,2534153
Damen Ave & Pierce Ave,Damen Ave & Division St,member,0.012666954205211762,160349,2534153
State St & Chicago Ave,Wells St & Elm St,casual,0.012661257211610592,200028,1366373
Clark St & Schiller St,Clark St & Schiller St,casual,0.012661257211610592,199855,1366373
Wells St & Elm St,Wells St & Hubbard St,casual,0.012661257211610592,200201,1366373
Clark St & Bryn Mawr Ave,Broadway & Ridge Ave,member,0.012627493288684623,160990,2534153
Fairbanks Ct & Grand Ave,Wabash Ave & Grand Ave,member,0.012627493288684623,161310,2534153
Ritchie Ct & Banks St,Clark St & Elm St,member,0.012627493288684623,161630,2534153
Clark St & Elm St,Wells St & Concord Ln,casual,0.012588070753740013,200546,1366373
Sheridan Rd & Argyle St,Sheridan Rd & Argyle St,casual,0.012588070753740013,200718,1366373
Sedgwick St & North Ave,Sedgwick St & Webster Ave,member,0.012588032372157481,162268,2534153
Navy Pier,DuSable Lake Shore Dr & Monroe St,member,0.012588032372157481,161949,2534153
Kingsbury St & Erie St,Clinton St & Lake St,member,0.012548571455630342,162586,2534153
New St & Illinois St,State St & Kinzie St,member,0.012509110539103203,162903,2534153
Blackstone Ave & 59th St,Ellis Ave & 55th St,casual,0.012441697837998849,202596,1366373
Sheridan Rd & Irving Park Rd,Sheridan Rd & Montrose Ave,member,0.012430188706048924,163218,2534153
Ravenswood Ave & Lawrence Ave,Clark St & Leland Ave,member,0.012390727789521785,164788,2534153
Broadway & Cornelia Ave,Wilton Ave & Addison St,member,0.012390727789521785,163532,2534153
Broadway & Cornelia Ave,Broadway & Barry Ave,member,0.012390727789521785,163846,2534153
Ravenswood Ave & Lawrence Ave,Campbell Ave & Montrose Ave,member,0.012390727789521785,164160,2534153
Kimbark Ave & 53rd St,University Ave & 59th St,member,0.012390727789521785,164474,2534153
Clinton St & Lake St,Clinton St & Jackson Blvd,casual,0.012368511380128266,203611,1366373
Elston Ave & Cortland St,Cherry Ave & Blackhawk St,member,0.012351266872994647,165101,2534153
DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy,member,0.012351266872994647,165414,2534153
Franklin St & Jackson Blvd,Wells St & Polk St,member,0.012272345039940366,166347,2534153
Damen Ave & Pierce Ave,Damen Ave & Thomas St (Augusta Blvd),member,0.012272345039940366,165725,2534153
Kingsbury St & Kinzie St 2,Clinton St & Jackson Blvd,member,0.012272345039940366,166036,2534153
Delano Ct & Roosevelt Rd,Wabash Ave & Roosevelt Rd,member,0.012232884123413227,166967,2534153
Ellis Ave & 55th St,Blackstone Ave & 59th St,member,0.012232884123413227,168207,2534153
Larrabee St & Kingsbury St 1,Kingsbury St & Kinzie St 2,member,0.012232884123413227,167897,2534153
Loomis St & Lexington St,Ashland Ave & 13th St,member,0.012232884123413227,167587,2534153
Clark St & Elm St,Clark St & Elm St,member,0.012232884123413227,167277,2534153
Ada St & Washington Blvd,Clinton St & Washington Blvd,member,0.012232884123413227,166657,2534153
Harper Ave & 55th St,University Ave & 57th St,casual,0.012222138464387102,205118,1366373
Michigan Ave & Washington St,Canal St & Madison St,casual,0.012222138464387102,204951,1366373
Wabash Ave & Roosevelt Rd,Wabash Ave & 9th St,member,0.012193423206886088,168516,2534153
Michigan Ave & 8th St,Millennium Park,member,0.012193423206886088,168825,2534153
Clark St & Armitage Ave,Clark St & Armitage Ave,member,0.012193423206886088,169134,2534153
Michigan Ave & 18th St,Wabash Ave & Roosevelt Rd,member,0.012193423206886088,169443,2534153
Clark St & Elm St,Clark St & Chicago Ave,member,0.012153962290358948,169751,2534153
Ashland Ave & Wellington Ave,Sheffield Ave & Wellington Ave,member,0.012153962290358948,170059,2534153
Peoria St & Jackson Blvd,Clinton St & Jackson Blvd,member,0.012153962290358948,170367,2534153
Damen Ave & Pierce Ave,Damen Ave & Thomas St (Augusta Blvd),casual,0.012148952006516523,205616,1366373
Clark St & Elm St,Wells St & Huron St,member,0.012114501373831809,170674,2534153
Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,member,0.012114501373831809,170981,2534153
Columbus Dr & Randolph St,Daley Center Plaza,member,0.012114501373831809,171288,2534153
Paulina St & Montrose Ave,Ravenswood Ave & Lawrence Ave,member,0.012114501373831809,171595,2534153
Sheridan Rd & Montrose Ave,Pine Grove Ave & Irving Park Rd,member,0.012075040457304669,171901,2534153
Aberdeen St & Jackson Blvd,Clinton St & Jackson Blvd,member,0.012075040457304669,172207,2534153
Halsted St & Maxwell St,Morgan St & Polk St,member,0.01203557954077753,173427,2534153
Wells St & Concord Ln,Clark St & Lincoln Ave,member,0.01203557954077753,172817,2534153
Aberdeen St & Monroe St,Jefferson St & Monroe St,member,0.01203557954077753,173122,2534153
Morgan St & Polk St,Halsted St & Maxwell St,member,0.01203557954077753,172512,2534153
Wells St & Huron St,Kingsbury St & Kinzie St,member,0.01203557954077753,173732,2534153
Broadway & Sunnyside Ave,Clarendon Ave & Gordon Ter,member,0.011996118624250391,174036,2534153
State St & Chicago Ave,Clark St & Schiller St,member,0.011996118624250391,174340,2534153
Clark St & Drummond Pl,Clark St & Armitage Ave,member,0.011996118624250391,174644,2534153
Desplaines St & Kinzie St,Kingsbury St & Erie St,member,0.011956657707723252,174947,2534153
Wells St & Elm St,Kingsbury St & Kinzie St 2,member,0.011956657707723252,175250,2534153
Clifton Ave & Armitage Ave,Elston Ave & Cortland St,member,0.011917196791196112,175552,2534153
Wolcott Ave & Polk St,Hermitage Ave & Polk St,member,0.011917196791196112,175854,2534153
Clarendon Ave & Junior Ter,Broadway & Sheridan Rd,member,0.011877735874668973,176155,2534153
Federal St & Polk St,Federal St & Polk St,member,0.011838274958141833,176755,2534153
Burnham Harbor,Burnham Harbor,member,0.011838274958141833,177055,2534153
Larrabee St & Kingsbury St 2,Clinton St & Jackson Blvd,member,0.011838274958141833,176455,2534153
Wells St & Concord Ln,Wells St & Evergreen Ave,member,0.011798814041614692,178550,2534153
Kingsbury St & Kinzie St,Clinton St & Madison St,member,0.011798814041614692,177354,2534153
Pine Grove Ave & Irving Park Rd,Sheridan Rd & Montrose Ave,member,0.011798814041614692,177653,2534153
