start_station,end_station,ride_type,route_percent_x_rider_type,route_count,running_count,total_count,pair_rank,cumulative_route_percent
Benson Ave & Church St,Benson Ave & Church St,casual,0.01902847904635118,260,158194,1366373,241,11.577658516378763
Navy Pier,St. Clair St & Erie St,casual,0.018955292588480596,259,158453,1366373,242,11.596613808967243
DuSable Lake Shore Dr & North Blvd,Streeter Dr & Grand Ave,casual,0.018808919672739434,257,158710,1366373,243,11.615422728639983
DuSable Lake Shore Dr & Belmont Ave,Montrose Harbor,casual,0.018808919672739434,257,158967,1366373,244,11.634231648312724
University Ave & 57th St,Shore Dr & 55th St,casual,0.018735733214868856,256,159223,1366373,245,11.652967381527592
Montrose Harbor,Navy Pier,casual,0.018735733214868856,256,159479,1366373,246,11.67170311474246
DuSable Lake Shore Dr & North Blvd,Clark St & Armitage Ave,casual,0.018735733214868856,256,159735,1366373,247,11.69043884795733
Woodlawn Ave & 55th St,Shore Dr & 55th St,casual,0.01866254675699827,255,159990,1366373,248,11.709101394714327
Fairbanks Ct & Grand Ave,Navy Pier,casual,0.01858936029912769,254,160244,1366373,249,11.727690755013455
DuSable Lake Shore Dr & Monroe St,McClurg Ct & Ohio St,casual,0.01858936029912769,254,160498,1366373,250,11.746280115312583
Theater on the Lake,DuSable Lake Shore Dr & Belmont Ave,casual,0.01851617384125711,253,160751,1366373,251,11.764796289153841
Burnham Harbor,Navy Pier,casual,0.01851617384125711,253,161004,1366373,252,11.783312462995097
Michigan Ave & 14th St,Michigan Ave & 14th St,casual,0.01844298738338653,252,161256,1366373,253,11.801755450378485
Clark St & Elm St,Clark St & Elm St,casual,0.01844298738338653,252,161508,1366373,254,11.820198437761869
Adler Planetarium,Michigan Ave & 8th St,casual,0.01844298738338653,252,161760,1366373,255,11.838641425145257
University Ave & 57th St,University Ave & 57th St,casual,0.018296614467645366,250,162010,1366373,256,11.856938039612903
Michigan Ave & Oak St,Clark St & Armitage Ave,casual,0.018296614467645366,250,162260,1366373,257,11.875234654080549
Navy Pier,Cannon Dr & Fullerton Ave,casual,0.017930682178292457,245,162505,1366373,258,11.893165336258841
DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Diversey Pkwy,casual,0.017930682178292457,245,162750,1366373,259,11.911096018437133
Woodlawn Ave & 58th St,Kimbark Ave & 53rd St,casual,0.017857495720421876,244,162994,1366373,260,11.928953514157554
Millennium Park,Indiana Ave & Roosevelt Rd,casual,0.017857495720421876,244,163238,1366373,261,11.946811009877976
Navy Pier,Dearborn St & Erie St,casual,0.017784309262551295,243,163481,1366373,262,11.964595319140528
Michigan Ave & 18th St,Michigan Ave & 18th St,casual,0.017784309262551295,243,163724,1366373,263,11.982379628403079
McCormick Place,Michigan Ave & 8th St,casual,0.017784309262551295,243,163967,1366373,264,12.00016393766563
Sheridan Rd & Montrose Ave,Sheffield Ave & Waveland Ave,casual,0.017711122804680714,242,164209,1366373,265,12.017875060470312
Navy Pier,Michigan Ave & Ida B Wells Dr,casual,0.017711122804680714,242,164451,1366373,266,12.035586183274992
Michigan Ave & Oak St,DuSable Lake Shore Dr & Wellington Ave,casual,0.017711122804680714,242,164693,1366373,267,12.053297306079672
Dusable Harbor,Streeter Dr & Grand Ave,casual,0.017637936346810133,241,164934,1366373,268,12.070935242426483
Shedd Aquarium,DuSable Lake Shore Dr & North Blvd,casual,0.01756474988893955,240,165174,1366373,269,12.088499992315421
Michigan Ave & Jackson Blvd,Shedd Aquarium,casual,0.017491563431068967,239,165413,1366373,270,12.105991555746492
Ritchie Ct & Banks St,Ritchie Ct & Banks St,casual,0.017418376973198386,238,165651,1366373,271,12.123409932719689
DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Wellington Ave,casual,0.017418376973198386,238,165889,1366373,272,12.140828309692887
Shedd Aquarium,Streeter Dr & Grand Ave,casual,0.017345190515327808,237,166126,1366373,273,12.158173500208216
Dearborn Pkwy & Delaware Pl,Dearborn Pkwy & Delaware Pl,casual,0.017345190515327808,237,166363,1366373,274,12.175518690723543
Columbus Dr & Randolph St,DuSable Lake Shore Dr & Monroe St,casual,0.017272004057457227,236,166599,1366373,275,12.192790694781
California Ave & Montrose Ave,California Ave & Montrose Ave,casual,0.017272004057457227,236,166835,1366373,276,12.210062698838458
Navy Pier,State St & Randolph St,casual,0.017198817599586642,235,167070,1366373,277,12.227261516438045
DuSable Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & North Blvd,casual,0.017198817599586642,235,167305,1366373,278,12.244460334037631
Woodlawn Ave & 55th St,Ellis Ave & 60th St,casual,0.01712563114171606,234,167539,1366373,279,12.261585965179348
Rush St & Superior St,Rush St & Superior St,casual,0.01705244468384548,233,167772,1366373,280,12.278638409863191
Navy Pier,Burnham Harbor,casual,0.01705244468384548,233,168005,1366373,281,12.295690854547038
Cornell Ave & Hyde Park Blvd,Cornell Ave & Hyde Park Blvd,casual,0.01705244468384548,233,168238,1366373,282,12.312743299230885
Wells St & Elm St,Wells St & Huron St,casual,0.0169792582259749,232,168470,1366373,283,12.329722557456858
Wells St & Hubbard St,Wells St & Hubbard St,casual,0.016906071768104314,231,168701,1366373,284,12.346628629224963
Rush St & Hubbard St,Rush St & Hubbard St,casual,0.016906071768104314,231,168932,1366373,285,12.363534700993068
Mies van der Rohe Way & Chicago Ave,Mies van der Rohe Way & Chicago Ave,casual,0.016906071768104314,231,169163,1366373,286,12.38044077276117
Kimbark Ave & 53rd St,Woodlawn Ave & 58th St,casual,0.016832885310233737,230,169393,1366373,287,12.397273658071404
Ellis Ave & 60th St,Kimbark Ave & 53rd St,casual,0.016832885310233737,230,169623,1366373,288,12.414106543381639
63rd St Beach,63rd St Beach,casual,0.016832885310233737,230,169853,1366373,289,12.430939428691874
Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,casual,0.016759698852363156,229,170082,1366373,290,12.447699127544237
Clark St & Armitage Ave,DuSable Lake Shore Dr & North Blvd,casual,0.016759698852363156,229,170311,1366373,291,12.4644588263966
Buckingham Fountain,Michigan Ave & Jackson Blvd,casual,0.016759698852363156,229,170540,1366373,292,12.481218525248963
Calumet Ave & 33rd St,State St & 33rd St,casual,0.016686512394492575,228,170768,1366373,293,12.497905037643454
Ellis Ave & 53rd St,University Ave & 57th St,casual,0.01654013947875141,226,170994,1366373,294,12.514445177122205
State St & Chicago Ave,State St & Chicago Ave,casual,0.016466953020880828,225,171219,1366373,295,12.530912130143088
Adler Planetarium,Michigan Ave & Jackson Blvd,casual,0.016466953020880828,225,171444,1366373,296,12.547379083163968
Theater on the Lake,Montrose Harbor,casual,0.016393766563010247,224,171668,1366373,297,12.563772849726979
Shore Dr & 55th St,University Ave & 57th St,casual,0.016393766563010247,224,171892,1366373,298,12.58016661628999
Dusable Harbor,Indiana Ave & Roosevelt Rd,casual,0.016393766563010247,224,172116,1366373,299,12.596560382852998
Dusable Harbor,Field Museum,casual,0.016393766563010247,224,172340,1366373,300,12.612954149416009
Navy Pier,Columbus Dr & Randolph St,casual,0.016320580105139666,223,172563,1366373,301,12.629274729521148
DuSable Lake Shore Dr & Wellington Ave,Michigan Ave & Oak St,casual,0.016320580105139666,223,172786,1366373,302,12.645595309626287
Halsted St & Polk St,Halsted St & Maxwell St,casual,0.016174207189398503,221,173007,1366373,303,12.661769516815685
Clark St & Lake St,Clark St & Lake St,casual,0.016174207189398503,221,173228,1366373,304,12.677943724005086
Glenwood Ave & Touhy Ave,Greenview Ave & Jarvis Ave,casual,0.016101020731527922,220,173448,1366373,305,12.694044744736614
Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Irving Park Rd,casual,0.016027834273657338,219,173667,1366373,306,12.710072579010271
Michigan Ave & 8th St,Michigan Ave & Lake St,casual,0.016027834273657338,219,173886,1366373,307,12.726100413283929
Broadway & Cornelia Ave,Broadway & Cornelia Ave,casual,0.016027834273657338,219,174105,1366373,308,12.742128247557586
Theater on the Lake,DuSable Lake Shore Dr & Diversey Pkwy,casual,0.015954647815786756,218,174323,1366373,309,12.758082895373372
Lincoln Park Conservatory,DuSable Lake Shore Dr & North Blvd,casual,0.015954647815786756,218,174541,1366373,310,12.77403754318916
LaSalle Dr & Huron St,LaSalle Dr & Huron St,casual,0.01588146135791618,217,174758,1366373,311,12.789919004547073
Montrose Harbor,DuSable Lake Shore Dr & Belmont Ave,casual,0.015808274900045594,216,174974,1366373,312,12.80572727944712
Mies van der Rohe Way & Chestnut St,Navy Pier,casual,0.015808274900045594,216,175190,1366373,313,12.821535554347166
Field Blvd & South Water St,DuSable Lake Shore Dr & North Blvd,casual,0.015808274900045594,216,175406,1366373,314,12.83734382924721
Halsted St & Maxwell St,900 W Harrison St,casual,0.015735088442175013,215,175621,1366373,315,12.853078917689388
Theater on the Lake,DuSable Lake Shore Dr & Wellington Ave,casual,0.015661901984304432,214,175835,1366373,316,12.868740819673691
Michigan Ave & 8th St,McCormick Place,casual,0.015661901984304432,214,176049,1366373,317,12.884402721657995
McCormick Place,Millennium Park,casual,0.015661901984304432,214,176263,1366373,318,12.900064623642299
Halsted St & 35th St,Wentworth Ave & 35th St,casual,0.015661901984304432,214,176477,1366373,319,12.915726525626603
Columbus Dr & Randolph St,Shedd Aquarium,casual,0.015661901984304432,214,176691,1366373,320,12.93138842761091
Ellis Ave & 55th St,Shore Dr & 55th St,casual,0.015588715526433851,213,176904,1366373,321,12.946977143137342
Michigan Ave & Oak St,Montrose Harbor,casual,0.015515529068563268,212,177116,1366373,322,12.962492672205904
Shore Dr & 55th St,Ellis Ave & 55th St,casual,0.015442342610692689,211,177327,1366373,323,12.9779350148166
Shedd Aquarium,Wabash Ave & Roosevelt Rd,casual,0.015442342610692689,211,177538,1366373,324,12.99337735742729
Navy Pier,Wabash Ave & Wacker Pl,casual,0.015442342610692689,211,177749,1366373,325,13.008819700037986
Wentworth Ave & 35th St,Halsted St & 35th St,casual,0.015369156152822108,210,177959,1366373,326,13.024188856190804
Wells St & Concord Ln,Wells St & Elm St,casual,0.015295969694951525,209,178168,1366373,327,13.039484825885758
New St & Illinois St,DuSable Lake Shore Dr & Monroe St,casual,0.015295969694951525,209,178377,1366373,328,13.054780795580708
Montrose Harbor,DuSable Lake Shore Dr & North Blvd,casual,0.015222783237080944,208,178585,1366373,329,13.07000357881779
Clarendon Ave & Junior Ter,Clarendon Ave & Junior Ter,casual,0.015222783237080944,208,178793,1366373,330,13.085226362054872
Wabash Ave & Adams St,Wabash Ave & Adams St,casual,0.015149596779210362,207,179000,1366373,331,13.100375958834082
University Ave & 57th St,Harper Ave & 55th St,casual,0.015149596779210362,207,179207,1366373,332,13.115525555613292
DuSable Lake Shore Dr & Diversey Pkwy,Theater on the Lake,casual,0.015149596779210362,207,179414,1366373,333,13.130675152392502
Broadway & Granville Ave,Broadway & Granville Ave,casual,0.015149596779210362,207,179621,1366373,334,13.14582474917171
Mies van der Rohe Way & Chestnut St,Michigan Ave & Oak St,casual,0.01507641032133978,206,179827,1366373,335,13.160901159493053
DuSable Lake Shore Dr & North Blvd,Clark St & Lincoln Ave,casual,0.01507641032133978,206,180033,1366373,336,13.175977569814393
Cannon Dr & Fullerton Ave,Navy Pier,casual,0.01507641032133978,206,180239,1366373,337,13.191053980135731
Michigan Ave & Oak St,Clark St & Lincoln Ave,casual,0.015003223863469198,205,180444,1366373,338,13.2060572039992
Orleans St & Merchandise Mart Plaza,Orleans St & Merchandise Mart Plaza,casual,0.014930037405598619,204,180648,1366373,339,13.2209872414048
Navy Pier,Field Blvd & South Water St,casual,0.014930037405598619,204,180852,1366373,340,13.235917278810398
Field Blvd & South Water St,Navy Pier,casual,0.014930037405598619,204,181056,1366373,341,13.250847316215996
Montrose Harbor,Pine Grove Ave & Waveland Ave,casual,0.014856850947728036,203,181259,1366373,342,13.265704167163724
Michigan Ave & Oak St,Streeter Dr & Grand Ave,casual,0.014856850947728036,203,181462,1366373,343,13.280561018111452
Clark St & Armitage Ave,DuSable Lake Shore Dr & Monroe St,casual,0.014783664489857455,202,181664,1366373,344,13.295344682601309
Lakefront Trail & Wilson Ave,Montrose Harbor,casual,0.014710478031986874,201,181865,1366373,345,13.310055160633297
Calumet Ave & 21st St,Calumet Ave & 21st St,casual,0.014710478031986874,201,182066,1366373,346,13.324765638665284
Buckingham Fountain,Navy Pier,casual,0.014710478031986874,201,182267,1366373,347,13.339476116697272
Broadway & Barry Ave,Broadway & Barry Ave,casual,0.014710478031986874,201,182468,1366373,348,13.354186594729258
Wabash Ave & Roosevelt Rd,Wabash Ave & 16th St,casual,0.014637291574116291,200,182668,1366373,349,13.368823886303375
Damen Ave & Pierce Ave,Damen Ave & Chicago Ave,casual,0.014637291574116291,200,182868,1366373,350,13.38346117787749
Damen Ave & Foster Ave,Damen Ave & Leland Ave,casual,0.014637291574116291,200,183068,1366373,351,13.398098469451606
Clark St & Armitage Ave,Michigan Ave & Oak St,casual,0.014637291574116291,200,183268,1366373,352,13.412735761025724
Shedd Aquarium,Columbus Dr & Randolph St,casual,0.01456410511624571,199,183467,1366373,353,13.427299866141967
Michigan Ave & 8th St,Field Museum,casual,0.01456410511624571,199,183666,1366373,354,13.441863971258213
Wells St & Elm St,Wells St & Elm St,casual,0.01449091865837513,198,183864,1366373,355,13.45635488991659
Portage Park,Portage Park,casual,0.01449091865837513,198,184062,1366373,356,13.470845808574964
Montrose Harbor,DuSable Lake Shore Dr & Wellington Ave,casual,0.01449091865837513,198,184260,1366373,357,13.48533672723334
Millennium Park,Wabash Ave & Grand Ave,casual,0.01449091865837513,198,184458,1366373,358,13.499827645891715
Millennium Park,Michigan Ave & Jackson Blvd,casual,0.01449091865837513,198,184656,1366373,359,13.51431856455009
DuSable Lake Shore Dr & North Blvd,Millennium Park,casual,0.01449091865837513,198,184854,1366373,360,13.528809483208464
Michigan Ave & Pearson St,Navy Pier,casual,0.014417732200504548,197,185051,1366373,361,13.54322721540897
McCormick Place,DuSable Lake Shore Dr & Monroe St,casual,0.014417732200504548,197,185248,1366373,362,13.557644947609473
Greenview Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,casual,0.014417732200504548,197,185445,1366373,363,13.57206267980998
Cornell Ave & Hyde Park Blvd,University Ave & 57th St,casual,0.014417732200504548,197,185642,1366373,364,13.586480412010483
Wells St & Concord Ln,Wells St & Concord Ln,casual,0.014344545742633967,196,185838,1366373,365,13.600824957753115
Navy Pier,Michigan Ave & Pearson St,casual,0.014344545742633967,196,186034,1366373,366,13.61516950349575
Montrose Harbor,Michigan Ave & Oak St,casual,0.014344545742633967,196,186230,1366373,367,13.629514049238386
Millennium Park,Theater on the Lake,casual,0.014344545742633967,196,186426,1366373,368,13.64385859498102
McClurg Ct & Erie St,Navy Pier,casual,0.014344545742633967,196,186622,1366373,369,13.658203140723653
Desplaines St & Kinzie St,Desplaines St & Kinzie St,casual,0.014344545742633967,196,186818,1366373,370,13.672547686466288
Wells St & Huron St,Wells St & Huron St,casual,0.014271359284763384,195,187013,1366373,371,13.68681904575105
DuSable Lake Shore Dr & North Blvd,Stockton Dr & Wrightwood Ave,casual,0.014271359284763384,195,187208,1366373,372,13.701090405035815
DuSable Lake Shore Dr & North Blvd,Field Blvd & South Water St,casual,0.014271359284763384,195,187403,1366373,373,13.715361764320576
Southport Ave & Wellington Ave,Sheffield Ave & Wellington Ave,casual,0.014198172826892803,194,187597,1366373,374,13.72955993714747
Field Museum,Michigan Ave & Oak St,casual,0.014198172826892803,194,187791,1366373,375,13.743758109974364
DuSable Lake Shore Dr & Monroe St,Michigan Ave & Jackson Blvd,casual,0.014198172826892803,194,187985,1366373,376,13.757956282801256
Broadway & Berwyn Ave,Clark St & Berwyn Ave,casual,0.014198172826892803,194,188179,1366373,377,13.772154455628149
Millennium Park,Streeter Dr & Grand Ave,casual,0.014124986369022222,193,188372,1366373,378,13.78627944199717
Michigan Ave & 8th St,Adler Planetarium,casual,0.014124986369022222,193,188565,1366373,379,13.800404428366193
Indiana Ave & Roosevelt Rd,Michigan Ave & Jackson Blvd,casual,0.014124986369022222,193,188758,1366373,380,13.814529414735215
Wells St & Polk St,Franklin St & Monroe St,casual,0.014051799911151639,192,188950,1366373,381,13.828581214646366
State St & Harrison St,State St & Harrison St,casual,0.014051799911151639,192,189142,1366373,382,13.842633014557517
Shedd Aquarium,Michigan Ave & Lake St,casual,0.014051799911151639,192,189334,1366373,383,13.85668481446867
DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Monroe St,casual,0.014051799911151639,192,189526,1366373,384,13.870736614379823
Shedd Aquarium,Michigan Ave & Washington St,casual,0.01397861345328106,191,189717,1366373,385,13.884715227833103
Navy Pier,Cityfront Plaza Dr & Pioneer Ct,casual,0.01397861345328106,191,189908,1366373,386,13.898693841286383
Broadway & Cornelia Ave,Wilton Ave & Belmont Ave,casual,0.01397861345328106,191,190099,1366373,387,13.912672454739663
New St & Illinois St,Shedd Aquarium,casual,0.013905426995410478,190,190289,1366373,388,13.926577881735074
Larrabee St & Webster Ave,Larrabee St & Webster Ave,casual,0.013905426995410478,190,190479,1366373,389,13.940483308730487
Rush St & Illinois St,Navy Pier,casual,0.013832240537539895,189,190668,1366373,390,13.954315549268026
Navy Pier,Mies van der Rohe Way & Chicago Ave,casual,0.013832240537539895,189,190857,1366373,391,13.968147789805565
Michigan Ave & Ida B Wells Dr,Navy Pier,casual,0.013832240537539895,189,191046,1366373,392,13.981980030343106
Daley Center Plaza,Daley Center Plaza,casual,0.013832240537539895,189,191235,1366373,393,13.995812270880645
Clarendon Ave & Gordon Ter,Clarendon Ave & Gordon Ter,casual,0.013832240537539895,189,191424,1366373,394,14.009644511418184
University Ave & 57th St,Lake Park Ave & 53rd St,casual,0.013759054079669314,188,191612,1366373,395,14.023403565497855
Ellis Ave & 60th St,Ellis Ave & 60th St,casual,0.013759054079669314,188,191800,1366373,396,14.037162619577522
Clark St & North Ave,Clark St & North Ave,casual,0.013759054079669314,188,191988,1366373,397,14.050921673657193
McClurg Ct & Ohio St,DuSable Lake Shore Dr & Monroe St,casual,0.013685867621798731,187,192175,1366373,398,14.064607541278992
Clarendon Ave & Leland Ave,Clarendon Ave & Leland Ave,casual,0.013685867621798731,187,192362,1366373,399,14.078293408900791
Field Museum,Wabash Ave & Roosevelt Rd,casual,0.01361268116392815,186,192548,1366373,400,14.091906090064718
Wells St & Concord Ln,Larrabee St & Webster Ave,casual,0.013539494706057571,185,192733,1366373,401,14.105445584770775
Wabash Ave & Washington St,Wabash Ave & Washington St,casual,0.013539494706057571,185,192918,1366373,402,14.118985079476834
University Library (NU),University Library (NU),casual,0.013539494706057571,185,193103,1366373,403,14.132524574182892
Rush St & Cedar St,Rush St & Cedar St,casual,0.01346630824818699,184,193287,1366373,404,14.145990882431079
Michigan Ave & 8th St,Michigan Ave & Oak St,casual,0.013393121790316407,183,193470,1366373,405,14.159384004221396
Wilton Ave & Belmont Ave,Wilton Ave & Belmont Ave,casual,0.013319935332445826,182,193652,1366373,406,14.172703939553841
Dusable Harbor,Michigan Ave & 8th St,casual,0.013246748874575243,181,193833,1366373,407,14.185950688428417
Woodlawn Ave & 55th St,Woodlawn Ave & 58th St,casual,0.013173562416704662,180,194013,1366373,408,14.199124250845122
Wells St & Huron St,Wells St & Concord Ln,casual,0.013173562416704662,180,194193,1366373,409,14.212297813261825
Stockton Dr & Wrightwood Ave,DuSable Lake Shore Dr & North Blvd,casual,0.013173562416704662,180,194373,1366373,410,14.22547137567853
DuSable Lake Shore Dr & North Blvd,Montrose Harbor,casual,0.013173562416704662,180,194553,1366373,411,14.238644938095234
Damen Ave & Leland Ave,Damen Ave & Foster Ave,casual,0.013173562416704662,180,194733,1366373,412,14.25181850051194
Clark St & Elm St,LaSalle St & Illinois St,casual,0.013173562416704662,180,194913,1366373,413,14.264992062928645
Woodlawn Ave & 55th St,University Ave & 57th St,casual,0.01310037595883408,179,195092,1366373,414,14.278092438887477
University Ave & 57th St,Ellis Ave & 53rd St,casual,0.01310037595883408,179,195271,1366373,415,14.291192814846312
University Ave & 57th St,Cornell Ave & Hyde Park Blvd,casual,0.01310037595883408,179,195450,1366373,416,14.304293190805145
Ravenswood Ave & Lawrence Ave,Clark St & Winnemac Ave,casual,0.01310037595883408,179,195629,1366373,417,14.31739356676398
Millennium Park,Cityfront Plaza Dr & Pioneer Ct,casual,0.01310037595883408,179,195808,1366373,418,14.330493942722814
Clark St & Winnemac Ave,Clark St & Bryn Mawr Ave,casual,0.01310037595883408,179,195987,1366373,419,14.34359431868165
Broadway & Waveland Ave,Clarendon Ave & Junior Ter,casual,0.01310037595883408,179,196166,1366373,420,14.356694694640481
New St & Illinois St,DuSable Lake Shore Dr & North Blvd,casual,0.013027189500963501,178,196344,1366373,421,14.369721884141445
Greenview Ave & Jarvis Ave,Glenwood Ave & Touhy Ave,casual,0.013027189500963501,178,196522,1366373,422,14.382749073642408
DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Belmont Ave,casual,0.013027189500963501,178,196700,1366373,423,14.395776263143373
Dodge Ave & Church St,Benson Ave & Church St,casual,0.013027189500963501,178,196878,1366373,424,14.408803452644337
Wabash Ave & Roosevelt Rd,Michigan Ave & 18th St,casual,0.012954003043092919,177,197055,1366373,425,14.421757455687429
Wabash Ave & 16th St,Wabash Ave & Roosevelt Rd,casual,0.012954003043092919,177,197232,1366373,426,14.434711458730524
Wells St & Huron St,Wells St & Evergreen Ave,casual,0.012880816585222337,176,197408,1366373,427,14.447592275315746
Sheffield Ave & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave,casual,0.012880816585222337,176,197584,1366373,428,14.460473091900965
Navy Pier,Rush St & Hubbard St,casual,0.012880816585222337,176,197760,1366373,429,14.473353908486189
Michigan Ave & 8th St,Indiana Ave & Roosevelt Rd,casual,0.012880816585222337,176,197936,1366373,430,14.486234725071412
Dearborn Pkwy & Delaware Pl,DuSable Lake Shore Dr & North Blvd,casual,0.012880816585222337,176,198112,1366373,431,14.499115541656634
Clinton St & Madison St,Clinton St & Madison St,casual,0.012880816585222337,176,198288,1366373,432,14.511996358241857
Wentworth Ave & Cermak Rd*,McCormick Place,casual,0.012807630127351755,175,198463,1366373,433,14.524803988369209
Griffin Museum of Science and Industry,DuSable Lake Shore Dr & Monroe St,casual,0.012807630127351755,175,198638,1366373,434,14.537611618496559
Navy Pier,Clark St & North Ave,casual,0.012734443669481173,174,198812,1366373,435,14.550346062166042
Ellis Ave & 55th St,Drexel Ave & 60th St,casual,0.012734443669481173,174,198986,1366373,436,14.56308050583552
Damen Ave & Lake St,Damen Ave & Chicago Ave,casual,0.012734443669481173,174,199160,1366373,437,14.575814949505004
Clark St & Lincoln Ave,DuSable Lake Shore Dr & Monroe St,casual,0.012734443669481173,174,199334,1366373,438,14.588549393174485
Central Park Ave & Bloomingdale Ave,Central Park Ave & Bloomingdale Ave,casual,0.012734443669481173,174,199508,1366373,439,14.601283836843965
900 W Harrison St,900 W Harrison St,casual,0.012734443669481173,174,199682,1366373,440,14.614018280513447
Wells St & Elm St,Wells St & Hubbard St,casual,0.012661257211610592,173,199855,1366373,441,14.626679537725057
State St & Chicago Ave,Wells St & Elm St,casual,0.012661257211610592,173,200028,1366373,442,14.639340794936667
Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St*,casual,0.012661257211610592,173,200201,1366373,443,14.652002052148278
Clark St & Schiller St,Clark St & Schiller St,casual,0.012661257211610592,173,200374,1366373,444,14.66466330935989
Streeter Dr & Grand Ave,Shedd Aquarium,casual,0.012588070753740013,172,200546,1366373,445,14.67725138011363
Sheridan Rd & Argyle St,Sheridan Rd & Argyle St,casual,0.012588070753740013,172,200718,1366373,446,14.689839450867371
Clark St & Elm St,Wells St & Concord Ln,casual,0.012588070753740013,172,200890,1366373,447,14.702427521621109
Wabash Ave & Grand Ave,Michigan Ave & Washington St,casual,0.01251488429586943,171,201061,1366373,448,14.714942405916979
Stockton Dr & Wrightwood Ave,Navy Pier,casual,0.01251488429586943,171,201232,1366373,449,14.727457290212847
Navy Pier,Rush St & Superior St,casual,0.01251488429586943,171,201403,1366373,450,14.739972174508717
Navy Pier,Lakefront Trail & Bryn Mawr Ave,casual,0.01251488429586943,171,201574,1366373,451,14.752487058804586
DuSable Lake Shore Dr & Wellington Ave,Montrose Harbor,casual,0.01251488429586943,171,201745,1366373,452,14.765001943100456
Clark St & Lincoln Ave,DuSable Lake Shore Dr & North Blvd,casual,0.01251488429586943,171,201916,1366373,453,14.777516827396326
Wells St & Evergreen Ave,Wells St & Evergreen Ave,casual,0.012441697837998849,170,202086,1366373,454,14.789958525234326
Stockton Dr & Wrightwood Ave,Theater on the Lake,casual,0.012441697837998849,170,202256,1366373,455,14.802400223072324
Cottage Grove Ave & Oakwood Blvd,Cottage Grove Ave & Oakwood Blvd,casual,0.012441697837998849,170,202426,1366373,456,14.814841920910323
Clark St & Lincoln Ave,Michigan Ave & Oak St,casual,0.012441697837998849,170,202596,1366373,457,14.827283618748321
Blackstone Ave & 59th St,Ellis Ave & 55th St,casual,0.012441697837998849,170,202766,1366373,458,14.83972531658632
Shore Dr & 55th St,Kimbark Ave & 53rd St,casual,0.012368511380128266,169,202935,1366373,459,14.852093827966447
Sheffield Ave & Waveland Ave,Sheffield Ave & Waveland Ave,casual,0.012368511380128266,169,203104,1366373,460,14.864462339346577
Michigan Ave & Washington St,Millennium Park,casual,0.012368511380128266,169,203273,1366373,461,14.876830850726705
DuSable Lake Shore Dr & Monroe St,Fort Dearborn Dr & 31st St*,casual,0.012368511380128266,169,203442,1366373,462,14.889199362106833
Clinton St & Lake St,Clinton St & Jackson Blvd,casual,0.012368511380128266,169,203611,1366373,463,14.901567873486963
Sheffield Ave & Waveland Ave,Sheridan Rd & Montrose Ave,casual,0.012295324922257685,168,203779,1366373,464,14.913863198409219
New St & Illinois St,Dearborn St & Erie St,casual,0.012295324922257685,168,203947,1366373,465,14.926158523331475
Michigan Ave & Oak St,McClurg Ct & Ohio St,casual,0.012295324922257685,168,204115,1366373,466,14.938453848253735
Clark St & Grace St,Clark St & Winnemac Ave,casual,0.012295324922257685,168,204283,1366373,467,14.950749173175993
Michigan Ave & Washington St,Canal St & Madison St,casual,0.012222138464387102,167,204450,1366373,468,14.96297131164038
Michigan Ave & Madison St,Michigan Ave & Madison St,casual,0.012222138464387102,167,204617,1366373,469,14.975193450104765
McCormick Place,Wentworth Ave & Cermak Rd*,casual,0.012222138464387102,167,204784,1366373,470,14.987415588569153
Harper Ave & 55th St,University Ave & 57th St,casual,0.012222138464387102,167,204951,1366373,471,14.99963772703354
Clark St & Lake St,Clark St & Ida B Wells Dr,casual,0.012222138464387102,167,205118,1366373,472,15.011859865497929
Michigan Ave & Jackson Blvd,DuSable Lake Shore Dr & Monroe St,casual,0.012148952006516523,166,205284,1366373,473,15.024008817504445
Larrabee St & Division St,Larrabee St & Division St,casual,0.012148952006516523,166,205450,1366373,474,15.036157769510961
Damen Ave & Pierce Ave,Damen Ave & Thomas St (Augusta Blvd),casual,0.012148952006516523,166,205616,1366373,475,15.048306721517477
Canal St & Madison St,Canal St & Madison St,casual,0.012148952006516523,166,205782,1366373,476,15.060455673523993
Michigan Ave & Lake St,Shedd Aquarium,casual,0.01207576554864594,165,205947,1366373,477,15.07253143907264
Michigan Ave & Lake St,Canal St & Madison St,casual,0.01207576554864594,165,206112,1366373,478,15.084607204621287
Wabash Ave & 16th St,Wabash Ave & 16th St,casual,0.012002579090775359,164,206276,1366373,479,15.096609783712061
Theater on the Lake,Streeter Dr & Grand Ave,casual,0.012002579090775359,164,206440,1366373,480,15.108612362802837
Dusable Harbor,Burnham Harbor,casual,0.012002579090775359,164,206604,1366373,481,15.120614941893612
