start_station,end_station,ride_type,route_percent_x_rider_type,route_count,running_count,total_count,pair_rank,cumulative_route_percent
DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Monroe St,casual,0.05335292778765389,729,87666,1366373,56,6.415964015682395
Michigan Ave & 8th St,Millennium Park,casual,0.05174282571450109,707,88373,1366373,57,6.467706841396895
Theater on the Lake,Michigan Ave & Oak St,casual,0.05108414759366586,698,89071,1366373,58,6.518790988990561
Millennium Park,DuSable Lake Shore Dr & Monroe St,casual,0.05035228301496005,688,89759,1366373,59,6.569143272005522
Michigan Ave & Oak St,DuSable Lake Shore Dr & North Blvd,casual,0.04962041843625423,678,90437,1366373,60,6.618763690441776
DuSable Lake Shore Dr & Monroe St,Millennium Park,casual,0.04954723197838365,677,91114,1366373,61,6.668310922420159
Field Museum,Millennium Park,casual,0.04896174031541899,669,91783,1366373,62,6.717272662735578
DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy,casual,0.04844943511032493,662,92445,1366373,63,6.765722097845902
Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,casual,0.04786394344736027,654,93099,1366373,64,6.813586041293264
Millennium Park,Shedd Aquarium,casual,0.04779075698948969,653,93752,1366373,65,6.861376798282754
Shedd Aquarium,Dusable Harbor,casual,0.04749801115800737,649,94401,1366373,66,6.90887480944076
Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,casual,0.04566834971124283,624,95025,1366373,67,6.954543159152003
Ellis Ave & 60th St,University Ave & 57th St,casual,0.045595163253372255,623,95648,1366373,68,7.000138322405375
DuSable Lake Shore Dr & Monroe St,Theater on the Lake,casual,0.04486329867466643,613,96261,1366373,69,7.045001621080043
Lincoln Park Conservatory,Lincoln Park Conservatory,casual,0.04354594243299597,595,96856,1366373,70,7.088547563513038
Michigan Ave & 8th St,Navy Pier,casual,0.043106823685772476,589,97445,1366373,71,7.13165438719881
Theater on the Lake,DuSable Lake Shore Dr & Monroe St,casual,0.042960450770031314,587,98032,1366373,72,7.174614837968842
Sheridan Rd & Noyes St (NU),Benson Ave & Church St,casual,0.0410576028653962,561,98593,1366373,73,7.215672440834238
Chicago Ave & Sheridan Rd,Chicago Ave & Sheridan Rd,casual,0.0410576028653962,561,99154,1366373,74,7.256730043699634
Theater on the Lake,DuSable Lake Shore Dr & North Blvd,casual,0.04076485703391387,557,99711,1366373,75,7.297494900733548
Cityfront Plaza Dr & Pioneer Ct,Cityfront Plaza Dr & Pioneer Ct,casual,0.0398866195394669,545,100256,1366373,76,7.337381520273015
Navy Pier,Michigan Ave & 8th St,casual,0.039520687250113984,540,100796,1366373,77,7.376902207523129
DuSable Lake Shore Dr & North Blvd,Michigan Ave & Oak St,casual,0.039520687250113984,540,101336,1366373,78,7.416422894773243
Navy Pier,Dusable Harbor,casual,0.039301127876502244,537,101873,1366373,79,7.455724022649745
Clark St & Lincoln Ave,Clark St & Lincoln Ave,casual,0.039301127876502244,537,102410,1366373,80,7.495025150526247
Field Blvd & South Water St,Field Blvd & South Water St,casual,0.03915475496076108,535,102945,1366373,81,7.534179905487008
Dusable Harbor,DuSable Lake Shore Dr & North Blvd,casual,0.038935195587149335,532,103477,1366373,82,7.573115101074157
University Ave & 57th St,Ellis Ave & 60th St,casual,0.03813014455057294,521,103998,1366373,83,7.61124524562473
University Ave & 57th St,Kimbark Ave & 53rd St,casual,0.03776421226122003,516,104514,1366373,84,7.649009457885951
DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,casual,0.03725190705612596,509,105023,1366373,85,7.686261364942077
Griffin Museum of Science and Industry,Griffin Museum of Science and Industry,casual,0.03695916122464364,505,105528,1366373,86,7.72322052616672
