start_station_name,station_rides,total_stations,station_percent
State St & Randolph St,36,19811,0.18171722780273583
Ellis Ave & 55th St,36,19811,0.18171722780273583
Clark St & Ida B Wells Dr,36,19811,0.18171722780273583
Michigan Ave & 18th St,36,19811,0.18171722780273583
Sheridan Rd & Buena Ave,36,19811,0.18171722780273583
Kingsbury St & Kinzie St,36,19811,0.18171722780273583
Rush St & Cedar St,35,19811,0.17666952703043762
Southport Ave & Waveland Ave,35,19811,0.17666952703043762
Lake Park Ave & 56th St,35,19811,0.17666952703043762
Stockton Dr & Wrightwood Ave,35,19811,0.17666952703043762
Lincoln Ave & Sunnyside Ave,34,19811,0.1716218262581394
Larrabee St & Webster Ave,34,19811,0.1716218262581394
Broadway & Sheridan Rd,34,19811,0.1716218262581394
Michigan Ave & Jackson Blvd,34,19811,0.1716218262581394
Blackstone Ave & 59th St,33,19811,0.1665741254858412
Sheffield Ave & Waveland Ave,33,19811,0.1665741254858412
Wood St & Beach Ave,33,19811,0.1665741254858412
St. Louis Ave & Balmoral Ave,32,19811,0.16152642471354298
Broadway & Berwyn Ave,32,19811,0.16152642471354298
Halsted St & Roscoe St,32,19811,0.16152642471354298
Halsted St & Clybourn Ave,32,19811,0.16152642471354298
Jeffery Blvd & 67th St,32,19811,0.16152642471354298
Clinton St & Washington Blvd,32,19811,0.16152642471354298
Southport Ave & Belmont Ave,31,19811,0.15647872394124476
Wabash Ave & Washington St,31,19811,0.15647872394124476
Morgan St & Polk St,31,19811,0.15647872394124476
Peoria St & Jackson Blvd,31,19811,0.15647872394124476
Financial Pl & Ida B Wells Dr,31,19811,0.15647872394124476
Franklin St & Chicago Ave,31,19811,0.15647872394124476
Aberdeen St & Randolph St,31,19811,0.15647872394124476
Stetson Ave & South Water St,31,19811,0.15647872394124476
Paulina St & Division St,30,19811,0.15143102316894655
University Ave & 59th St,30,19811,0.15143102316894655
Western Ave & 43rd St,30,19811,0.15143102316894655
Sheridan Rd & Columbia Ave,30,19811,0.15143102316894655
Blackstone Ave & Hyde Park Blvd,30,19811,0.15143102316894655
Clark St & Winnemac Ave,30,19811,0.15143102316894655
Green St & Madison St,29,19811,0.14638332239664834
Sheridan Rd & Loyola Ave,29,19811,0.14638332239664834
Lincoln Ave & Fullerton Ave,29,19811,0.14638332239664834
Milwaukee Ave & Grand Ave,29,19811,0.14638332239664834
Desplaines St & Jackson Blvd,29,19811,0.14638332239664834
Canal St & Monroe St,29,19811,0.14638332239664834
State St & Pearson St,28,19811,0.14133562162435012
Wells St & Evergreen Ave,28,19811,0.14133562162435012
Fairbanks St & Superior St,28,19811,0.14133562162435012
Ellis Ave & 53rd St,28,19811,0.14133562162435012
Drexel Ave & 60th St,28,19811,0.14133562162435012
Ogden Ave & Chicago Ave,28,19811,0.14133562162435012
Fort Dearborn Dr & 31st St,28,19811,0.14133562162435012
Sheridan Rd & Greenleaf Ave,28,19811,0.14133562162435012
Southport Ave & Roscoe St,28,19811,0.14133562162435012
Throop St & Taylor St,27,19811,0.1362879208520519
California Ave & Milwaukee Ave,27,19811,0.1362879208520519
McCormick Place,27,19811,0.1362879208520519
Sheffield Ave & Wellington Ave,27,19811,0.1362879208520519
Franklin St & Monroe St,27,19811,0.1362879208520519
Sheridan Rd & Lawrence Ave,27,19811,0.1362879208520519
Franklin St & Illinois St,26,19811,0.13124022007975367
Wentworth Ave & Cermak Rd*,26,19811,0.13124022007975367
Sedgwick St & Webster Ave,26,19811,0.13124022007975367
Broadway & Argyle St,26,19811,0.13124022007975367
Public Rack - Justine St & 87th St,26,19811,0.13124022007975367
Damen Ave & Chicago Ave,26,19811,0.13124022007975367
