start_station_name,station_rides,total_stations,station_percent
Kimbark Ave & 53rd St,142,84559,0.16793008431982404
Sheffield Ave & Waveland Ave,141,84559,0.16674747809221965
Clark St & Berwyn Ave,140,84559,0.16556487186461524
Clinton St & Madison St,140,84559,0.16556487186461524
Broadway & Sheridan Rd,139,84559,0.16438226563701086
Wells St & Elm St,136,84559,0.16083444695419766
Rush St & Illinois St,135,84559,0.15965184072659327
Clark St & Ida B Wells Dr,130,84559,0.1537388095885713
Blackstone Ave & Hyde Park Blvd,129,84559,0.1525562033609669
Wells St & Randolph St,129,84559,0.1525562033609669
Broadway & Berwyn Ave,126,84559,0.14900838467815372
LaSalle St & Adams St,124,84559,0.14664317222294493
Wabash Ave & Cermak Rd,122,84559,0.14427795976773614
Dearborn St & Monroe St,120,84559,0.14191274731252734
Walsh Park,120,84559,0.14191274731252734
Sheridan Rd & Irving Park Rd,120,84559,0.14191274731252734
Orleans St & Merchandise Mart Plaza,118,84559,0.13954753485731858
Ellis Ave & 55th St,118,84559,0.13954753485731858
Wabash Ave & 16th St,117,84559,0.13836492862971417
Canal St & Madison St,116,84559,0.13718232240210979
Damen Ave & Pierce Ave,116,84559,0.13718232240210979
Clark St & Winnemac Ave,116,84559,0.13718232240210979
Lincoln Ave & Fullerton Ave,115,84559,0.13599971617450538
Sheridan Rd & Noyes St (NU),115,84559,0.13599971617450538
Halsted St & Roscoe St,115,84559,0.13599971617450538
St Clair St & Ohio St,112,84559,0.1324518974916922
Canal St & Adams St,112,84559,0.1324518974916922
Kedzie Ave & Milwaukee Ave,112,84559,0.1324518974916922
Clark St & Wrightwood Ave,110,84559,0.1300866850364834
Green St & Madison St,110,84559,0.1300866850364834
Clarendon Ave & Gordon Ter,108,84559,0.12772147258127461
South Shore Dr & 71st St,108,84559,0.12772147258127461
Southport Ave & Waveland Ave,108,84559,0.12772147258127461
Desplaines St & Kinzie St,107,84559,0.12653886635367023
Milwaukee Ave & The 606,106,84559,0.12535626012606582
Woodlawn Ave & 55th St,103,84559,0.12180844144325265
Sheffield Ave & Addison St ,103,84559,0.12180844144325265
State St & Pearson St,103,84559,0.12180844144325265
Southport Ave & Roscoe St,102,84559,0.12062583521564825
Franklin St & Lake St,101,84559,0.11944322898804385
Franklin St & Chicago Ave,101,84559,0.11944322898804385
Sheridan Rd & Montrose Ave,100,84559,0.11826062276043947
Broadway & Wilson Ave,99,84559,0.11707801653283506
Franklin St & Adams St ,99,84559,0.11707801653283506
Broadway & Argyle St,98,84559,0.11589541030523068
Sedgwick St & Webster Ave,97,84559,0.11471280407762627
South Shore Dr & 67th St,97,84559,0.11471280407762627
Sheffield Ave & Wrightwood Ave,96,84559,0.11353019785002189
Clark St & Newport St,96,84559,0.11353019785002189
University Library (NU),96,84559,0.11353019785002189
Lake Park Ave & 47th St,96,84559,0.11353019785002189
Blackstone Ave & 59th St,95,84559,0.11234759162241748
MLK Jr Dr & 29th St,95,84559,0.11234759162241748
Dearborn St & Adams St,93,84559,0.10998237916720871
Wells St & Polk St,92,84559,0.1087997729396043
Clark St & Chicago Ave,92,84559,0.1087997729396043
Wilton Ave & Addison St,91,84559,0.10761716671199992
LaSalle St & Jackson Blvd,88,84559,0.10406934802918671
Aberdeen St & Randolph St,87,84559,0.10288674180158233
Central Park Ave & Bloomingdale Ave,87,84559,0.10288674180158233
Archer Ave & Wentworth Ave,87,84559,0.10288674180158233
University Ave & 59th St,86,84559,0.10170413557397795
St. Clair St & Erie St 1,85,84559,0.10052152934637354
Clinton St & Washington Blvd,84,84559,0.09933892311876916
Halsted St & Clybourn Ave,84,84559,0.09933892311876916
Wells St & Evergreen Ave,84,84559,0.09933892311876916
Clark St & Grace St,83,84559,0.09815631689116475
Financial Pl & Ida B Wells Dr,83,84559,0.09815631689116475
Desplaines St & Jackson Blvd,83,84559,0.09815631689116475
Ellis Ave & 60th St,83,84559,0.09815631689116475
Ravenswood Ave & Lawrence Ave,83,84559,0.09815631689116475
