start_station_name,start_lat,start_lng,casual_starts,percent_of_member_starts,running_count,total_count
Navy Pier,41.89227843474446,-87.6120436707236,45972,2.494983927401677,45972,1842577
DuSable Lake Shore Dr & Monroe St,41.88095952610842,-87.61674365089321,36837,1.9992108877946484,82809,1842577
Michigan Ave & Oak St,41.90096088557045,-87.62377572011751,26375,1.4314191482906822,109184,1842577
DuSable Lake Shore Dr & North Blvd,41.911722252983466,-87.62680404328516,23298,1.2644247703081064,132482,1842577
Millennium Park,41.88103354688359,-87.62408464776041,20982,1.1387312443387712,153464,1842577
Shedd Aquarium,41.86722720444729,-87.61536324345028,19247,1.0445696434938676,172711,1842577
Theater on the Lake,41.92627664812792,-87.63083501643469,18833,1.0221011116496082,191544,1842577
