start_station_name,station_rides,total_stations,station_percent
Wilton Ave & Diversey Pkwy,4384,2203299,0.19897435618134443
Sheffield Ave & Webster Ave,4338,2203299,0.19688657780900365
Kedzie Ave & Milwaukee Ave,4336,2203299,0.19679580483629322
Peoria St & Jackson Blvd,4333,2203299,0.19665964537722752
Ellis Ave & 60th St,4330,2203299,0.1965234859181618
Franklin St & Chicago Ave,4325,2203299,0.19629655348638564
Shore Dr & 55th St,4319,2203299,0.19602423456825424
Sedgwick St & Webster Ave,4295,2203299,0.19493495889572862
McClurg Ct & Erie St,4276,2203299,0.19407261565497919
Broadway & Sheridan Rd,4238,2203299,0.19234792917348031
Michigan Ave & Pearson St,4223,2203299,0.19166713187815182
Aberdeen St & Jackson Blvd,4195,2203299,0.19039631026020526
Clark St & Berwyn Ave,4189,2203299,0.19012399134207386
Mies van der Rohe Way & Chicago Ave,4156,2203299,0.18862623729235117
Damen Ave & Cortland St,4150,2203299,0.18835391837421975
Clarendon Ave & Junior Ter,4126,2203299,0.18726464270169416
Sheridan Rd & Montrose Ave,4108,2203299,0.18644768594729993
Wabash Ave & Wacker Pl,4104,2203299,0.186266140001879
Dayton St & North Ave,4098,2203299,0.1859938210837476
LaSalle Dr & Huron St,4093,2203299,0.1857668886519714
Larrabee St & Division St,4084,2203299,0.18535841027477432
California Ave & Milwaukee Ave,4080,2203299,0.18517686432935337
Clarendon Ave & Gordon Ter,4059,2203299,0.18422374811589348
Ritchie Ct & Banks St,4046,2203299,0.18363372379327544
St. Clair St & Erie St,4033,2203299,0.1830436994706574
Lakefront Trail & Wilson Ave,4011,2203299,0.18204519677084227
Wells St & Polk St,4006,2203299,0.18181826433906612
Clark St & Chicago Ave,3981,2203299,0.18068360218018525
Halsted St & Dickens Ave,3859,2203299,0.17514645084484676
Wells St & Randolph St,3799,2203299,0.17242326166353272
Sheffield Ave & Addison St ,3784,2203299,0.17174246436820423
Milwaukee Ave & The 606,3767,2203299,0.17097089410016525
Michigan Ave & 14th St,3759,2203299,0.1706078022093234
Calumet Ave & 18th St,3732,2203299,0.16938236707773208
Halsted St & Fulton St,3708,2203299,0.16829309140520649
Kimbark Ave & 53rd St,3703,2203299,0.1680661589734303
